case_id,holding_id,total_citations,internal_citations,external_citations,precedent_direction_score,predominantly_pro_ds_precedents,cites_gc_precedent,precedent_purpose_rate,avg_cited_pagerank,max_cited_pagerank,citing_case_pagerank,citing_case_in_degree,citing_case_authority
C-307/22,1,4,3,1,0.7222222222222222,1.0,0,0.7222222222222222,0.0206928123832746,0.026530754096006266,0.007070676187164317,2,0.0004975066480723304
C-307/22,2,1,1,0,0.6666666666666666,1.0,0,1.0,0.04301638548020276,0.04301638548020276,0.007070676187164317,2,0.0004975066480723304
C-307/22,3,1,1,0,0.5,0.0,0,0.5,0.017939911070255398,0.017939911070255398,0.007070676187164317,2,0.0004975066480723304
C-311/18,1,2,0,2,,,0,,,,0.12140636894604184,10,0.001948008733677941
C-311/18,2,1,0,1,,,0,,,,0.12140636894604184,10,0.001948008733677941
C-311/18,3,1,0,1,,,0,,,,0.12140636894604184,10,0.001948008733677941
C-311/18,4,1,0,1,,,0,,,,0.12140636894604184,10,0.001948008733677941
C-311/18,5,6,0,6,,,0,,,,0.12140636894604184,10,0.001948008733677941
"C-313/23, C-316/23 & C-332/23",1,15,0,15,,,0,,,,0.005361620540502952,0,-0.0
"C-313/23, C-316/23 & C-332/23",2,5,4,1,0.5208333333333334,1.0,1,0.37499999999999994,0.029604444553882482,0.0894259145658621,0.005361620540502952,0,-0.0
"C-313/23, C-316/23 & C-332/23",3,4,4,0,0.4375,0.0,1,0.875,0.012288878427382757,0.02313723659639132,0.005361620540502952,0,-0.0
"C-313/23, C-316/23 & C-332/23",4,3,1,2,0.625,1.0,1,0.75,0.023100926094618515,0.023100926094618515,0.005361620540502952,0,-0.0
"C-313/23, C-316/23 & C-332/23",5,6,6,0,0.5555555555555555,1.0,0,0.9444444444444445,0.011005333388902394,0.018056056536676027,0.005361620540502952,0,-0.0
C-319/20,1,2,1,1,0.8,1.0,1,0.4,0.04750151279707306,0.04750151279707306,0.026927333914559114,5,0.005454614294767454
C-33/22,1,4,4,0,0.6875,1.0,1,0.625,0.03241035321067501,0.0894259145658621,0.010222934379895276,2,0.001988993413015734
C-33/22,2,3,2,1,0.875,1.0,1,0.75,0.04937382198994103,0.0894259145658621,0.010222934379895276,2,0.001988993413015734
C-33/22,3,2,1,1,0.8,1.0,1,0.4,0.04750151279707306,0.04750151279707306,0.010222934379895276,2,0.001988993413015734
C-34/21,1,4,3,1,0.8055555555555555,1.0,1,0.8333333333333334,0.053123211320207996,0.0894259145658621,0.010426139035024604,4,0.009934323817148632
C-34/21,2,6,3,3,0.7111111111111111,1.0,1,0.5777777777777778,0.02216773983543926,0.04750151279707306,0.010426139035024604,4,0.009934323817148632
C-340/21,1,3,2,1,0.6666666666666666,1.0,1,0.6666666666666666,0.03233632795196107,0.03530205830399602,0.018056056536676027,9,0.08840292085533226
C-340/21,2,0,0,0,,,0,,,,0.018056056536676027,9,0.08840292085533226
C-340/21,3,2,1,1,0.625,1.0,1,0.75,0.023100926094618515,0.023100926094618515,0.018056056536676027,9,0.08840292085533226
C-340/21,4,3,3,0,0.6944444444444443,1.0,1,0.6944444444444443,0.01801773120807471,0.03530205830399602,0.018056056536676027,9,0.08840292085533226
C-340/21,5,0,0,0,,,0,,,,0.018056056536676027,9,0.08840292085533226
C-340/21,6,1,1,0,0.3333333333333333,0.0,0,0.3333333333333333,0.03530205830399602,0.03530205830399602,0.018056056536676027,9,0.08840292085533226
C-383/23,1,1,1,0,0.5,0.0,1,1.0,0.01317019937886215,0.01317019937886215,0.005361620540502952,0,-0.0
C-394/23,1,7,4,3,0.84375,1.0,1,0.8125,0.03196803132620164,0.0894259145658621,0.009534042124429348,3,0.006404000048418339
C-394/23,2,0,0,0,,,0,,,,0.009534042124429348,3,0.006404000048418339
C-416/23,1,6,2,4,0.75,1.0,0,0.75,0.014568388359236604,0.017939911070255398,0.005361620540502952,0,-0.0
C-416/23,2,6,1,5,1.0,1.0,0,1.0,0.007070676187164317,0.007070676187164317,0.005361620540502952,0,-0.0
C-416/23,3,1,1,0,1.0,1.0,0,1.0,0.026530754096006266,0.026530754096006266,0.005361620540502952,0,-0.0
C-439/19,1,12,3,9,0.9333333333333332,1.0,1,1.0,0.057527261144746045,0.12140636894604184,0.0894259145658621,17,0.02064018736886587
C-439/19,2,8,2,6,0.4,0.0,1,0.5,0.07662235393657726,0.12140636894604184,0.0894259145658621,17,0.02064018736886587
C-439/19,3,0,0,0,,,0,,,,0.0894259145658621,17,0.02064018736886587
C-439/19,4,10,0,10,,,0,,,,0.0894259145658621,17,0.02064018736886587
C-446/21,1,9,6,3,0.673611111111111,1.0,1,0.875,0.03139291707457228,0.0894259145658621,0.007957484929939874,2,0.0008073570291453636
C-446/21,2,3,2,1,0.4125,0.0,1,0.575,0.01950286119520867,0.023100926094618515,0.007957484929939874,2,0.0008073570291453636
C-453/21,1,1,1,0,0.0,0.0,0,1.0,0.014239662386760716,0.014239662386760716,0.010444883035534428,1,8.329503570660742e-05
C-453/21,2,0,0,0,,,0,,,,0.010444883035534428,1,8.329503570660742e-05
C-456/22,1,2,2,0,0.5,0.0,0,0.6666666666666666,0.026679057420336022,0.03530205830399602,0.008885989509286525,5,0.06448526393631707
C-46/23,1,7,2,5,0.9,1.0,1,1.0,0.07416685143030048,0.12140636894604184,0.007270715638474654,2,0.0020677689416291225
C-46/23,2,0,0,0,,,0,,,,0.007270715638474654,2,0.0020677689416291225
C-460/20,1,4,0,4,,,0,,,,0.00850212070158102,3,0.013312277932055064
C-460/20,2,3,1,2,1.0,1.0,1,1.0,0.021281147496361688,0.021281147496361688,0.00850212070158102,3,0.013312277932055064
C-461/22,1,1,1,0,1.0,1.0,1,0.6666666666666666,0.010222934379895276,0.010222934379895276,0.005361620540502952,0,-0.0
C-487/21,1,6,3,3,0.7222222222222222,1.0,0,1.0,0.026664007537247816,0.04301638548020276,0.017939911070255398,7,0.012313254497267377
